"filename", "language", "pip requirements", "Markdown", "Python", "MS SQL", "Batch", "JSON", "comment", "blank", "total"
"c:\Alkaid\Office App\Project\Py\AzurLaneTool\build.bat", "Batch", 0, 0, 0, 0, 19, 0, 2, 6, 27
"c:\Alkaid\Office App\Project\Py\AzurLaneTool\data\user.json", "JSON", 0, 0, 0, 0, 0, 6, 0, 1, 7
"c:\Alkaid\Office App\Project\Py\AzurLaneTool\main.py", "Python", 0, 0, 31, 0, 0, 0, 0, 15, 46
"c:\Alkaid\Office App\Project\Py\AzurLaneTool\models\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Alkaid\Office App\Project\Py\AzurLaneTool\models\base_model.py", "Python", 0, 0, 41, 0, 0, 0, 0, 13, 54
"c:\Alkaid\Office App\Project\Py\AzurLaneTool\models\codex_model.py", "Python", 0, 0, 101, 0, 0, 0, 0, 17, 118
"c:\Alkaid\Office App\Project\Py\AzurLaneTool\models\ship_model.py", "Python", 0, 0, 30, 0, 0, 0, 0, 9, 39
"c:\Alkaid\Office App\Project\Py\AzurLaneTool\repositories\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Alkaid\Office App\Project\Py\AzurLaneTool\repositories\base_repository.py", "Python", 0, 0, 78, 0, 0, 0, 0, 27, 105
"c:\Alkaid\Office App\Project\Py\AzurLaneTool\repositories\codex_repository.py", "Python", 0, 0, 519, 0, 0, 0, 0, 54, 573
"c:\Alkaid\Office App\Project\Py\AzurLaneTool\repositories\ship_repository.py", "Python", 0, 0, 157, 0, 0, 0, 0, 33, 190
"c:\Alkaid\Office App\Project\Py\AzurLaneTool\requirements.txt", "pip requirements", 4, 0, 0, 0, 0, 0, 10, 6, 20
"c:\Alkaid\Office App\Project\Py\AzurLaneTool\services\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Alkaid\Office App\Project\Py\AzurLaneTool\services\calc_service.py", "Python", 0, 0, 84, 0, 0, 0, 0, 24, 108
"c:\Alkaid\Office App\Project\Py\AzurLaneTool\services\codex_unlock_service.py", "Python", 0, 0, 149, 0, 0, 0, 0, 35, 184
"c:\Alkaid\Office App\Project\Py\AzurLaneTool\services\data_service.py", "Python", 0, 0, 94, 0, 0, 0, 0, 30, 124
"c:\Alkaid\Office App\Project\Py\AzurLaneTool\services\statistics_service.py", "Python", 0, 0, 121, 0, 0, 0, 0, 32, 153
"c:\Alkaid\Office App\Project\Py\AzurLaneTool\sql\GetTheBulinRequirements_ByBulinQuality.sql", "MS SQL", 0, 0, 0, 48, 0, 0, 3, 0, 51
"c:\Alkaid\Office App\Project\Py\AzurLaneTool\tests\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Alkaid\Office App\Project\Py\AzurLaneTool\tests\test_codex_unlock.py", "Python", 0, 0, 347, 0, 0, 0, 0, 55, 402
"c:\Alkaid\Office App\Project\Py\AzurLaneTool\tests\test_models.py", "Python", 0, 0, 51, 0, 0, 0, 0, 14, 65
"c:\Alkaid\Office App\Project\Py\AzurLaneTool\tests\test_services.py", "Python", 0, 0, 53, 0, 0, 0, 0, 12, 65
"c:\Alkaid\Office App\Project\Py\AzurLaneTool\tests\test_utils.py", "Python", 0, 0, 57, 0, 0, 0, 0, 17, 74
"c:\Alkaid\Office App\Project\Py\AzurLaneTool\utils\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Alkaid\Office App\Project\Py\AzurLaneTool\utils\constants.py", "Python", 0, 0, 18, 0, 0, 0, 0, 8, 26
"c:\Alkaid\Office App\Project\Py\AzurLaneTool\utils\db_connection.py", "Python", 0, 0, 115, 0, 0, 0, 0, 32, 147
"c:\Alkaid\Office App\Project\Py\AzurLaneTool\utils\exceptions.py", "Python", 0, 0, 16, 0, 0, 0, 0, 10, 26
"c:\Alkaid\Office App\Project\Py\AzurLaneTool\utils\helpers.py", "Python", 0, 0, 83, 0, 0, 0, 0, 30, 113
"c:\Alkaid\Office App\Project\Py\AzurLaneTool\utils\sql_loader.py", "Python", 0, 0, 44, 0, 0, 0, 0, 16, 60
"c:\Alkaid\Office App\Project\Py\AzurLaneTool\views\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Alkaid\Office App\Project\Py\AzurLaneTool\views\main_window.py", "Python", 0, 0, 125, 0, 0, 0, 0, 32, 157
"c:\Alkaid\Office App\Project\Py\AzurLaneTool\views\widgets\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Alkaid\Office App\Project\Py\AzurLaneTool\views\widgets\codex_unlock_panel.py", "Python", 0, 0, 145, 0, 0, 0, 0, 33, 178
"c:\Alkaid\Office App\Project\Py\AzurLaneTool\views\widgets\stat_card.py", "Python", 0, 0, 65, 0, 0, 0, 0, 18, 83
"c:\Alkaid\Office App\Project\Py\AzurLaneTool\views\widgets\statistics_panel.py", "Python", 0, 0, 214, 0, 0, 0, 0, 60, 274
"c:\Alkaid\Office App\Project\Py\AzurLaneTool\设计与开发规范文档.md", "Markdown", 0, 317, 0, 0, 0, 0, 0, 97, 414
"Total", "-", 4, 317, 2738, 48, 19, 6, 15, 743, 3890
